as_of,asset_id,horizon,horizon_days,target_date,status,point_pct,actual_pct,abs_err,signed_err,low_pct,high_pct,in_band,p_up,direction_hit,brier,protocol_version,model_id,day_type,confidence,horizon_kind,paired_gain_pp,baseline_naive_pct,baseline_drift_pct,baseline_momentum_pct,beat_naive,beat_drift,beat_momentum,beat_all_three
2026-08-08,A5,1w,7,2026-08-17,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-09,A1,1w,7,2026-08-17,resolved,1.0,1.699,0.699,-0.699,-4.5,6.5,1,0.57,1,0.1849,2,model_A,weekend,low,forecast,1.0,0.0,9.354,7.18,True,True,True,True
2026-08-09,A6,1w,7,2026-08-17,resolved,0.4,0.441,0.041,-0.041,-0.4,1.2,1,0.72,1,0.0784,2,model_A,weekend,medium,forecast,0.4,0.0,0.493,1.368,True,True,True,True
2026-08-09,A2,1w,7,2026-08-17,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-09,A3,1w,7,2026-08-17,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-09,A4,1w,7,2026-08-17,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-09,A5,1w,7,2026-08-17,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-10,A1,1w,7,2026-08-17,resolved,1.2,1.533,0.333,-0.333,-5.5,8.0,1,0.58,1,0.1764,3,model_A,calm,low,forecast,1.2,0.0,7.448,6.061,True,True,True,True
2026-08-10,A6,1w,7,2026-08-17,resolved,0.4,0.388,0.012,0.012,-0.45,1.25,1,0.7,1,0.09,3,model_A,calm,medium,forecast,0.376,0.0,0.361,0.165,True,True,True,True
2026-08-10,A2,1w,7,2026-08-17,resolved,1.5,2.2,0.7,-0.7,-4.5,7.0,1,0.6,1,0.16,3,model_A,calm,low,forecast,1.5,0.0,6.16,4.991,True,True,True,True
2026-08-10,A3,1w,7,2026-08-17,resolved,1.1,2.262,1.162,-1.162,-4.0,6.0,1,0.58,1,0.1764,3,model_A,calm,low,forecast,1.1,0.0,4.326,1.982,True,True,False,False
2026-08-10,A4,1w,7,2026-08-17,resolved,1.2,1.554,0.354,-0.354,-4.0,6.5,1,0.58,1,0.1764,3,model_A,calm,low,forecast,1.2,0.0,7.197,9.178,True,True,True,True
2026-08-10,A5,1w,7,2026-08-17,resolved,0.6,2.499,1.899,-1.899,-4.0,5.5,1,0.55,1,0.2025,3,model_A,calm,low,forecast,0.6,0.0,3.417,-0.232,True,False,True,False
2026-08-14,A1,1d,1,2026-08-17,resolved,0.1,1.612,1.512,-1.512,-1.85,2.05,1,0.53,1,0.2209,4,model_A,data,low,forecast,0.1,0.0,0.229,-0.768,True,False,True,False
2026-08-14,A2,1d,1,2026-08-17,resolved,0.25,-0.604,0.854,0.854,-1.85,2.45,1,0.57,0,0.3249,4,model_A,data,low,forecast,-0.25,0.0,0.76,0.807,False,True,True,False
2026-08-14,A3,1d,1,2026-08-17,resolved,0.2,-0.19,0.39,0.39,-2.0,2.6,1,0.55,0,0.3025,4,model_A,data,low,forecast,-0.2,0.0,0.568,0.102,False,True,False,False
2026-08-14,A4,1d,1,2026-08-17,resolved,-0.55,-0.607,0.057,0.057,-2.6,1.5,1,0.38,1,0.1444,4,model_A,data,low,forecast,0.55,0.0,0.804,-1.535,True,True,True,True
2026-08-14,A5,1d,1,2026-08-17,resolved,0.2,0.133,0.067,0.067,-1.5,1.9,1,0.55,1,0.2025,4,model_A,data,low,forecast,0.066,0.0,0.461,0.155,True,True,False,False
2026-08-14,A6,1d,1,2026-08-17,resolved,0.07,0.039,0.031,0.031,-0.15,0.35,1,0.68,,,4,model_A,data,low,forecast,0.008,0.0,0.076,0.231,True,True,True,True
2026-08-15,A1,1d,1,2026-08-17,resolved,0.08,0.542,0.462,-0.462,-1.65,1.95,1,0.52,1,0.2304,4,model_A,weekend,low,forecast,0.08,0.0,0.229,-0.768,True,False,True,False
2026-08-15,A6,1d,1,2026-08-17,resolved,0.06,0.045,0.015,0.015,-0.14,0.3,1,0.62,,,4,model_A,weekend,medium,forecast,0.03,0.0,0.076,0.231,True,True,True,True
2026-08-15,A2,1d,1,2026-08-17,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-15,A3,1d,1,2026-08-17,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-15,A4,1d,1,2026-08-17,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-15,A5,1d,1,2026-08-17,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-16,A1,1d,1,2026-08-17,resolved,0.05,0.542,0.492,-0.492,-1.62,1.9,1,0.52,1,0.2304,4,model_A,weekend,low,forecast,0.05,0.0,0.229,-0.768,True,False,True,False
2026-08-16,A6,1d,1,2026-08-17,resolved,0.07,0.084,0.014,-0.014,-0.15,0.32,1,0.63,1,0.1369,4,model_A,weekend,medium,forecast,0.07,0.0,0.076,0.231,True,False,True,False
